Model,Sample,Ref LUFS,TTS LUFS,LUFS Delta,Ref LRA,TTS LRA,LRA Delta,Ref Cent,TTS Cent,Cent Delta,Ref Peak,TTS Peak,Peak Flag,Final Pass,Ref Flag,_is_degraded
m1,YASH 2,-20.003,-17.355,2.648,12.377,16.514,4.137,2252.73,2137.82,114.91,0.0,0.0,REF_ALSO_CLIPPED,"❌ FAIL (Clipping, Dynamics)",—,False
m1,YASH_01,-17.355,-20.003,2.648,16.514,12.377,4.137,2137.82,2252.73,114.91,0.0,0.0,REF_ALSO_CLIPPED,"❌ FAIL (Clipping, Dynamics)",—,False
